trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN2262F203578:2021-02-21T18:50:52Z,18:01:00,18:01:00,StopPoint:OCETGV INOUI-87113001,1,,1,0,
OCESN2350F160129:2021-02-21T18:50:52Z,06:38:00,06:38:00,StopPoint:OCETGV INOUI-87182014,0,,0,1,
OCESN2350F160129:2021-02-21T18:50:52Z,06:49:00,06:53:00,StopPoint:OCETGV INOUI-87214056,1,,0,0,
OCESN2350F160129:2021-02-21T18:50:52Z,07:14:00,07:18:00,StopPoint:OCETGV INOUI-87212027,2,,0,0,
OCESN2350F160129:2021-02-21T18:50:52Z,09:06:00,09:06:00,StopPoint:OCETGV INOUI-87113001,3,,1,0,
OCESN2350F201752:2021-02-19T18:51:30Z,06:38:00,06:38:00,StopPoint:OCETGV INOUI-87182014,0,,0,1,
OCESN2350F201752:2021-02-19T18:51:30Z,06:49:00,06:52:00,StopPoint:OCETGV INOUI-87214056,1,,0,0,
OCESN2350F201752:2021-02-19T18:51:30Z,07:13:00,07:18:00,StopPoint:OCETGV INOUI-87212027,2,,0,0,
OCESN2350F201752:2021-02-19T18:51:30Z,09:06:00,09:06:00,StopPoint:OCETGV INOUI-87113001,3,,1,0,
OCESN2350F225592:2021-02-21T18:50:52Z,06:16:00,06:16:00,StopPoint:OCETGV INOUI-87182014,0,,0,1,
OCESN2350F225592:2021-02-21T18:50:52Z,06:26:00,06:29:00,StopPoint:OCETGV INOUI-87214056,1,,0,0,
OCESN2350F225592:2021-02-21T18:50:52Z,06:50:00,06:59:00,StopPoint:OCETGV INOUI-87212027,2,,0,0,
OCESN2350F225592:2021-02-21T18:50:52Z,09:05:00,09:05:00,StopPoint:OCETGV INOUI-87113001,3,,1,0,
OCESN2362F201171:2021-02-21T18:50:52Z,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87212027,0,,0,1,
OCESN2362F201171:2021-02-21T18:50:52Z,18:41:00,18:44:00,StopPoint:OCETGV INOUI-87171926,1,,0,0,
OCESN2362F201171:2021-02-21T18:50:52Z,19:24:00,19:24:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2362F224597:2021-02-21T18:50:52Z,16:44:00,16:44:00,StopPoint:OCETGV INOUI-87182014,0,,0,1,
OCESN2362F224597:2021-02-21T18:50:52Z,17:13:00,17:17:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2362F224597:2021-02-21T18:50:52Z,18:41:00,18:44:00,StopPoint:OCETGV INOUI-87171926,2,,0,0,
OCESN2362F224597:2021-02-21T18:50:52Z,19:24:00,19:24:00,StopPoint:OCETGV INOUI-87113001,3,,1,0,
OCESN2364F160665:2021-02-19T18:51:30Z,17:45:00,17:45:00,StopPoint:OCETGV INOUI-87182014,0,,0,1,
OCESN2364F160665:2021-02-19T18:51:30Z,18:13:00,18:19:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2364F160665:2021-02-19T18:51:30Z,20:14:00,20:14:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2364F208829:2021-02-19T13:09:32Z,17:45:00,17:45:00,StopPoint:OCETGV INOUI-87182014,0,,0,1,
OCESN2364F208829:2021-02-19T13:09:32Z,18:13:00,18:19:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2364F208829:2021-02-19T13:09:32Z,20:15:00,20:15:00,StopPoint:OCETGV INOUI-87113001,2,,1,0,
OCESN2369F169752:2021-02-21T18:50:52Z,13:38:00,13:38:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2369F169752:2021-02-21T18:50:52Z,15:41:00,15:56:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2369F169752:2021-02-21T18:50:52Z,16:26:00,16:26:00,StopPoint:OCETGV INOUI-87182014,2,,1,0,
OCESN2369F183072:2021-02-21T18:50:52Z,13:47:00,13:47:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2369F183072:2021-02-21T18:50:52Z,15:41:00,15:56:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2369F183072:2021-02-21T18:50:52Z,16:26:00,16:26:00,StopPoint:OCETGV INOUI-87182014,2,,1,0,
OCESN2369F201169:2021-02-21T18:50:52Z,13:47:00,13:47:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2369F201169:2021-02-21T18:50:52Z,15:41:00,15:41:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2369F216652:2021-02-19T13:09:32Z,13:36:00,13:36:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2369F216652:2021-02-19T13:09:32Z,15:41:00,15:56:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2369F216652:2021-02-19T13:09:32Z,16:26:00,16:26:00,StopPoint:OCETGV INOUI-87182014,2,,1,0,
OCESN2371F160664:2021-02-20T18:50:55Z,14:20:00,14:20:00,StopPoint:OCETGV INOUI-87271007,0,,0,1,
OCESN2371F160664:2021-02-20T18:50:55Z,16:41:00,16:46:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2371F160664:2021-02-20T18:50:55Z,17:12:00,17:12:00,StopPoint:OCETGV INOUI-87182014,2,,1,0,
OCESN2371F182933:2021-02-19T18:51:30Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2371F182933:2021-02-19T18:51:30Z,16:41:00,16:46:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2371F182933:2021-02-19T18:51:30Z,17:12:00,17:12:00,StopPoint:OCETGV INOUI-87182014,2,,1,0,
OCESN2371F205904:2021-02-19T13:09:32Z,14:45:00,14:45:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2371F205904:2021-02-19T13:09:32Z,16:41:00,16:46:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2371F205904:2021-02-19T13:09:32Z,17:12:00,17:12:00,StopPoint:OCETGV INOUI-87182014,2,,1,0,
OCESN2371F223977:2021-02-20T18:50:55Z,14:46:00,14:46:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2371F223977:2021-02-20T18:50:55Z,16:41:00,16:46:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2371F223977:2021-02-20T18:50:55Z,17:14:00,17:14:00,StopPoint:OCETGV INOUI-87182014,2,,1,0,
OCESN2377F69057:2021-02-19T13:09:32Z,18:43:00,18:43:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2377F69057:2021-02-19T13:09:32Z,20:41:00,20:46:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2377F69057:2021-02-19T13:09:32Z,21:05:00,21:08:00,StopPoint:OCETGV INOUI-87214056,2,,0,0,
OCESN2377F69057:2021-02-19T13:09:32Z,21:19:00,21:19:00,StopPoint:OCETGV INOUI-87182014,3,,1,0,
OCESN2377F186106:2021-02-21T18:50:52Z,18:54:00,18:54:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2377F186106:2021-02-21T18:50:52Z,20:57:00,21:03:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2377F186106:2021-02-21T18:50:52Z,21:23:00,21:26:00,StopPoint:OCETGV INOUI-87214056,2,,0,0,
OCESN2377F186106:2021-02-21T18:50:52Z,21:37:00,21:37:00,StopPoint:OCETGV INOUI-87182014,3,,1,0,
OCESN2377F201160:2021-02-19T13:09:32Z,18:54:00,18:54:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2377F201160:2021-02-19T13:09:32Z,20:57:00,21:03:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2377F201160:2021-02-19T13:09:32Z,21:22:00,21:25:00,StopPoint:OCETGV INOUI-87214056,2,,0,0,
OCESN2377F201160:2021-02-19T13:09:32Z,21:36:00,21:36:00,StopPoint:OCETGV INOUI-87182014,3,,1,0,
OCESN2377F201191:2021-02-21T18:50:52Z,18:43:00,18:43:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2377F201191:2021-02-21T18:50:52Z,20:41:00,20:41:00,StopPoint:OCETGV INOUI-87212027,1,,1,0,
OCESN2377F208298:2021-02-19T13:09:32Z,18:43:00,18:43:00,StopPoint:OCETGV INOUI-87113001,0,,0,1,
OCESN2377F208298:2021-02-19T13:09:32Z,20:41:00,20:46:00,StopPoint:OCETGV INOUI-87212027,1,,0,0,
OCESN2377F208298:2021-02-19T13:09:32Z,21:04:00,21:07:00,StopPoint:OCETGV INOUI-87214056,2,,0,0,
